Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Screen_Full HD,Screen_IPS Panel
22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.6675902,1927.4,False,True
23,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.842242999999999,1396.5600000000002,True,False
24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.755775,1226.3600000000001,True,False
25,Dell,3,1,2,3,15.600000000000001,0.6896551724137931,4,256,4.850164,566.72,True,False
26,Asus,3,3,1,3,15.600000000000001,0.8275862068965517,6,256,4.40924,674.36,True,False
27,HP,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.210824199999999,839.96,True,False
28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0423755999999993,1307.3200000000002,False,True
29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.105513381974248,770.0400000000001,False,True
30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.866006,1393.8,False,True
31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4832996,1729.6000000000001,False,True
32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.6675902,1903.48,False,True
33,Asus,3,3,1,7,15.600000000000001,0.6206896551724138,8,256,3.7478539999999994,1306.4,True,False
34,HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.51155,1084.68,True,False
35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.527392,1033.16,False,True
36,Acer,3,3,1,3,15.600000000000001,0.9310344827586208,4,256,4.850164,668.84,True,False
37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.5935305999999994,1154.6000000000001,True,False
38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.105513381974248,816.96,False,True
39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.8580849999999995,1304.56,False,True
40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.755775,1284.3200000000002,True,False
41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2628375999999997,1264.0800000000002,True,False
42,HP,3,1,1,5,15.600000000000001,0.5517241379310345,6,256,4.210824199999999,723.12,True,False
43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.613859999999999,941.1600000000001,False,True
44,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.6958405999999995,851.0,True,False
45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.51155,1261.3200000000002,False,True
46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.613859999999999,998.2,False,True
47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.314851,1576.88,False,True
48,HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.51155,1078.24,True,False
49,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,4.105513381974248,1634.8400000000001,True,False
50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4691744,1155.52,False,True
51,HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.51155,1220.8400000000001,True,False
52,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.6455439999999997,1693.72,True,False
53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0864679999999995,1089.28,False,True
54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.5935305999999994,1205.2,True,False
55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.527392,1343.2,True,False
56,Dell,3,1,2,5,15.600000000000001,0.5517241379310345,8,256,4.850164,791.2,True,False
57,Toshiba,4,2,1,7,13.299999999999999,0.8620689655172414,8,256,2.6455439999999997,1592.52,True,False
58,Acer,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.850164,972.44,True,False
59,Asus,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.40924,898.84,True,False
60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.527392,1003.72,True,False
61,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,16,256,4.105513381974248,1050.64,True,False
62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.51155,989.0,False,True
63,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.6438272,1027.64,True,False
64,Asus,1,3,1,7,17.3,1.0,16,256,7.9366319999999995,3505.2000000000003,True,False
65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.613859999999999,820.64,False,True
66,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,3.1085141999999997,1109.52,True,False
67,Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.519470999999999,1028.56,True,False
68,Dell,3,1,2,7,15.600000000000001,0.6206896551724138,8,256,4.105513381974248,859.2800000000001,True,False
69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.51155,968.76,False,True
70,Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,6,256,4.850164,676.2,True,False
71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.613859999999999,1111.3600000000001,False,True
72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.299009,1282.48,False,True
73,Asus,4,3,1,5,15.600000000000001,0.8620689655172414,8,256,3.7478539999999994,1141.72,True,False
74,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.40924,2137.1600000000003,True,False
75,Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,8,256,4.519470999999999,863.88,True,False
76,Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.51155,1144.48,True,False
77,Dell,5,3,1,7,17.3,1.0,16,256,7.539800399999999,3371.8,True,False
78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.850164,1219.0,False,True
79,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.425082,1167.48,False,True
80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.299009,1145.4,True,False
81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2628375999999997,1509.72,True,False
82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.40924,1278.8,True,False
83,Asus,4,3,1,7,15.600000000000001,0.9310344827586208,8,256,3.7478539999999994,1227.28,True,False
84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7778212,1560.3200000000002,True,False
85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.40924,1102.16,False,True
86,Asus,1,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.51155,1167.48,True,False
87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2628375999999997,1482.1200000000001,True,False
88,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.0565008,1336.76,True,False
89,Dell,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.40924,1335.8400000000001,True,False
90,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.6455439999999997,1845.52,True,False
91,HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0565008,1523.52,True,False
92,HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.732012,2031.3600000000001,True,False
93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9982832,1667.96,True,False
94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.40924,1104.0,True,False
95,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,5.136764599999999,1050.64,True,False
96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9982832,2045.16,False,True
97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3069299999999995,1284.3200000000002,False,True
98,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3069299999999995,641.24,False,True
99,Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.40924,2495.04,False,True
100,MSI,1,3,1,7,17.3,0.9655172413793103,8,256,5.952474,1576.88,True,False
101,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,5.136764599999999,909.88,True,False
102,Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.629702,1437.04,False,True
103,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.188777999999999,1096.64,False,True
104,Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.51155,1027.64,True,False
105,Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,256,5.070625999999999,700.12,True,False
106,HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.1526065999999995,1752.6000000000001,True,False
107,Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.8580849999999995,1420.48,False,True
108,HP,3,2,1,7,15.600000000000001,1.0,8,256,5.0926722,1667.96,True,False
109,Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.527392,1284.3200000000002,True,False
110,Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0864679999999995,1180.3600000000001,False,True
111,Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7478539999999994,700.12,False,True
112,Asus,3,2,2,5,15.600000000000001,0.8620689655172414,4,256,4.40924,653.2,True,False
113,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,4,256,4.850164,874.9200000000001,True,False
114,Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.9982832,1669.8000000000002,False,True
115,Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6155767999999995,1378.16,True,False
116,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.850164,1201.52,True,False
117,Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.784025399999999,2308.28,False,True
118,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6376229999999996,1572.28,True,False
119,Lenovo,3,3,1,7,15.600000000000001,1.0,8,256,5.886335399999999,2442.6,True,False
120,Dell,4,2,1,5,15.600000000000001,0.5517241379310345,8,256,3.1305603999999994,2152.8,True,False
121,Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,3.9242236,2814.28,True,False
122,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.314851,1954.0800000000002,False,True
123,HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.2848838,848.24,False,True
124,Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.8580849999999995,1226.3600000000001,False,True
125,Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.070625999999999,1183.1200000000001,False,True
126,Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.784025399999999,1050.64,True,False
127,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0864679999999995,1109.52,False,True
128,Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.070625999999999,1064.44,False,True
129,Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.1746527999999996,1109.52,True,False
130,Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,128,2.8439598,1050.64,False,True
131,HP,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.4974248,1038.68,True,False
132,HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9100984,1634.8400000000001,False,True
133,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6155767999999995,1495.92,True,False
134,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.4533324,1565.8400000000001,True,False
135,Dell,3,2,1,5,15.600000000000001,0.9655172413793103,8,256,4.188777999999999,1609.0800000000002,True,False
136,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.2549166,1599.88,True,False
137,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.850164,931.96,True,False
138,Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.1226394,1003.72,False,True
139,Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.527392,860.2,True,False
140,HP,3,2,1,3,15.600000000000001,0.8275862068965517,4,128,4.629702,824.32,True,False
141,Lenovo,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.850164,583.28,True,False
142,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.188777999999999,1305.48,True,False
143,Lenovo,3,2,1,3,15.600000000000001,0.9310344827586208,4,128,4.519470999999999,736.0,True,False
144,Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.495707999999999,3505.2000000000003,False,True
145,Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.070625999999999,969.6800000000001,True,False
146,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,4.850164,874.9200000000001,True,False
147,HP,3,2,1,3,13.299999999999999,0.8275862068965517,4,128,3.2848838,839.96,True,False
148,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,16,256,4.2549166,1796.76,True,False
149,Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0864679999999995,1955.0,False,True
150,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7478539999999994,1722.24,False,True
151,Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.5415171999999995,2060.8,True,False
152,HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0565008,1424.16,True,False
153,Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.850164,1634.8400000000001,False,True
154,Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,128,4.8060716,665.1600000000001,True,False
155,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6376229999999996,1712.1200000000001,True,False
156,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.40924,2127.04,True,False
157,Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,4,256,3.9683159999999997,968.76,True,False
158,Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9683159999999997,1073.64,False,True
159,Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.299009,3036.92,True,False
160,Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.6455439999999997,1417.72,True,False
161,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9982832,1851.0400000000002,False,True
162,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,2.6455439999999997,1694.64,True,False
163,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.850164,1073.64,True,False
164,Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.4392072,1436.1200000000001,True,False
165,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.40924,1470.16,False,True
166,Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.425082,1326.64,True,False
167,Acer,1,3,1,5,15.600000000000001,0.8620689655172414,16,256,5.51155,1518.0,True,False
168,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.850164,1166.56,True,False
169,HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.51155,816.96,False,True
170,Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7478539999999994,816.96,True,False
171,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3069299999999995,1137.1200000000001,False,True
172,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.8060716,929.2,True,False
173,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9683159999999997,1391.96,True,False
174,Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6155767999999995,1272.3600000000001,True,False
175,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.1226394,1001.88,False,True
176,Dell,3,2,1,5,15.600000000000001,0.896551724137931,8,256,4.188777999999999,1378.16,True,False
177,HP,3,3,1,7,17.3,0.9310344827586208,8,256,5.7981506,1402.0800000000002,True,False
178,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9100984,1751.68,False,True
179,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1746527999999996,1121.48,False,True
180,HP,5,3,1,7,15.600000000000001,0.9655172413793103,16,256,5.732012,2827.1600000000003,True,False
181,Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.755775,1794.0,False,True
182,Samsung,4,2,1,7,13.299999999999999,0.9310344827586208,16,256,1.7857422,1927.4,True,False
183,HP,3,2,1,3,15.600000000000001,0.6896551724137931,8,256,4.1005932,630.2,True,False
184,HP,3,2,1,5,15.600000000000001,0.8275862068965517,8,256,4.0565008,2220.88,True,False
185,HP,5,3,1,7,15.600000000000001,0.896551724137931,8,256,5.709965799999999,1824.3600000000001,True,False
186,Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.6014515999999994,2172.12,True,False
187,Samsung,4,2,1,7,15.600000000000001,0.9310344827586208,8,256,2.8880521999999997,1868.52,True,False
188,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,16,256,5.070625999999999,1380.92,True,False
189,Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9683159999999997,743.36,False,True
190,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.7761043999999995,1150.92,True,False
191,Dell,3,1,1,3,15.600000000000001,0.6896551724137931,8,256,4.40924,863.88,True,False
192,HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,6.9225068,2413.1600000000003,True,False
193,Asus,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.2249494,1284.3200000000002,True,False
194,Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.8439598,1751.68,True,False
195,Samsung,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,1.7857422,1751.68,True,False
196,Dell,3,1,1,5,15.600000000000001,0.8620689655172414,8,256,4.8060716,922.76,True,False
197,Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.9100984,2172.12,True,False
198,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.291087999999999,1401.16,True,False
199,Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.3069299999999995,723.12,False,True
200,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7478539999999994,1386.44,True,False
201,Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.9100984,1928.3200000000002,False,True
202,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,4,256,4.8060716,863.88,True,False
203,Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.321055199999999,2223.64,False,True
204,Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.070625999999999,920.0,False,True
205,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,128,4.188777999999999,1104.0,True,False
206,HP,3,1,1,5,15.600000000000001,0.896551724137931,8,256,4.0565008,1576.88,True,False
207,Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,2.314851,1501.44,True,False
208,Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.4392072,1054.32,False,True
209,Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.40924,1621.96,False,True
210,Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.7116825999999996,2161.08,True,False
211,Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.527392,1975.24,True,False
212,Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8219136,1092.96,False,True
213,HP,3,2,1,5,15.600000000000001,0.8620689655172414,4,256,4.4974248,980.72,True,False
214,HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.299009,1478.44,True,False
215,Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.5794053999999997,1985.3600000000001,True,False
216,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9100984,2102.2000000000003,False,True
217,Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.314851,1724.0800000000002,True,False
218,Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.527392,1408.52,True,False
219,Lenovo,3,3,1,7,15.600000000000001,0.9310344827586208,6,256,4.850164,921.84,True,False
220,HP,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.4974248,1190.48,True,False
221,Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,3.1746527999999996,1029.48,True,False
222,HP,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.2848838,1121.48,True,False
223,HP,4,1,1,7,15.600000000000001,0.8620689655172414,8,256,4.0565008,1516.16,True,False
224,Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.291087999999999,2308.28,False,True
225,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9982832,1928.3200000000002,False,True
226,HP,3,2,1,5,15.600000000000001,0.793103448275862,8,256,5.0926722,1361.6000000000001,True,False
227,Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.2407913999999995,1291.68,False,True
228,HP,2,2,1,5,12.5,0.793103448275862,8,256,2.7778212,1950.4,True,False
229,Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.9982832,1915.44,True,False
230,Dell,4,2,1,5,15.600000000000001,0.8620689655172414,8,256,2.9982832,1720.4,True,False
231,Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.9982832,2074.6,True,False
232,Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.6455439999999997,1706.6000000000001,True,False
233,Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7478539999999994,1739.72,False,True
234,Toshiba,3,2,1,5,13.299999999999999,0.8275862068965517,8,256,2.6455439999999997,1794.0,True,False
235,Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.9982832,2057.12,False,True
236,Lenovo,3,3,1,5,15.600000000000001,0.8620689655172414,6,256,5.291087999999999,812.36,True,False
237,Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.299009,1379.0800000000002,True,False
